pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
307.0,98.0,8.62283706665039,0.8943424224853516,9.641538619995117,1
318.0,98.0,8.589115142822266,0.885792076587677,9.69653606414795,1
237.0,99.0,9.213342666625977,0.9490060806274414,9.708413124084473,1
308.0,99.0,8.757340431213379,0.889163076877594,9.848970413208008,1
314.0,99.0,8.766031265258789,0.8861497044563293,9.892269134521484,1
315.0,99.0,8.768498420715332,0.8857462406158447,9.89955997467041,1
232.0,100.0,9.106451034545898,0.9478344321250916,9.60763931274414,1
233.0,100.0,9.212789535522461,0.9475743770599365,9.722497940063477,1
309.0,100.0,8.770698547363281,0.886646568775177,9.891989707946777,1
311.0,100.0,8.774916648864746,0.8854061365127563,9.910612106323242,1
312.0,100.0,8.582047462463379,0.885790228843689,9.688577651977539,1
313.0,100.0,8.770583152770996,0.8854571580886841,9.905146598815918,1
324.0,100.0,8.708904266357422,0.8902131915092468,9.782941818237305,1
226.0,101.0,9.172868728637695,0.9515121579170227,9.64030647277832,1
305.0,101.0,8.740531921386719,0.892245352268219,9.79610824584961,1
310.0,101.0,8.585783958435059,0.8844662308692932,9.707305908203125,1
311.0,101.0,8.77247142791748,0.8840487599372864,9.923063278198242,1
317.0,101.0,8.759672164916992,0.8829064965248108,9.921403884887695,1
306.0,102.0,8.613110542297363,0.8862028121948242,9.71911907196045,1
307.0,102.0,8.744858741760254,0.8854348063468933,9.876343727111816,1
311.0,102.0,8.768444061279297,0.882667601108551,9.934027671813965,1
235.0,103.0,9.097672462463379,0.9465894103050232,9.611001968383789,1
305.0,103.0,8.6885347366333,0.8842213749885559,9.82619857788086,1
306.0,103.0,8.736283302307129,0.8834985494613647,9.888282775878906,1
307.0,103.0,8.73950481414795,0.8830904960632324,9.896499633789062,1
308.0,103.0,8.74406909942627,0.8825333118438721,9.907919883728027,1
309.0,103.0,8.760183334350586,0.8819890022277832,9.932304382324219,1
311.0,103.0,8.766502380371094,0.8812174797058105,9.948171615600586,1
314.0,103.0,8.760570526123047,0.8805599212646484,9.948863983154297,1
315.0,103.0,8.566810607910156,0.88021320104599,9.732653617858887,1
319.0,103.0,8.56643009185791,0.8801221251487732,9.73322868347168,1
323.0,103.0,8.599534034729004,0.8820136785507202,9.749887466430664,1
248.0,104.0,9.149087905883789,0.9521552324295044,9.608819961547852,1
304.0,104.0,8.604340553283691,0.8857486844062805,9.714200973510742,1
305.0,104.0,8.589868545532227,0.8828739523887634,9.729439735412598,1
310.0,104.0,8.758865356445312,0.8797956109046936,9.955568313598633,1
311.0,104.0,8.762480735778809,0.8795273900032043,9.962715148925781,1
314.0,104.0,8.760896682739258,0.8790280222892761,9.966572761535645,1
315.0,104.0,8.75438117980957,0.8785994648933411,9.964017868041992,1
316.0,104.0,8.751596450805664,0.8786541223526001,9.96022891998291,1
317.0,104.0,8.753037452697754,0.8786964416503906,9.961389541625977,1
236.0,105.0,9.241634368896484,0.9473083019256592,9.755677223205566,1
250.0,105.0,9.192413330078125,0.9536346793174744,9.639344215393066,1
308.0,105.0,8.677288055419922,0.879467785358429,9.866521835327148,1
321.0,105.0,8.55789566040039,0.8777800798416138,9.749475479125977,1
323.0,105.0,8.570049285888672,0.8779599666595459,9.761321067810059,1
306.0,106.0,8.656023025512695,0.880933940410614,9.825961112976074,1
310.0,106.0,8.7487211227417,0.8786218166351318,9.95732307434082,1
312.0,106.0,8.751903533935547,0.8784956932067871,9.962374687194824,1
321.0,106.0,8.677453994750977,0.8766548037528992,9.898370742797852,1
298.0,107.0,8.610054969787598,0.8979543447494507,9.588521957397461,1
304.0,107.0,8.635467529296875,0.8840053677558899,9.768568992614746,1
316.0,107.0,8.739803314208984,0.8766759634017944,9.96925163269043,1
323.0,107.0,8.644412994384766,0.8756516575813293,9.871976852416992,1
225.0,108.0,9.115642547607422,0.947894811630249,9.616724014282227,1
318.0,108.0,8.697754859924316,0.8760915994644165,9.927906036376953,1
319.0,108.0,8.517926216125488,0.8756933212280273,9.727065086364746,1
328.0,108.0,8.52780818939209,0.8764373064041138,9.730083465576172,1
330.0,108.0,8.521462440490723,0.8756303191184998,9.731803894042969,1
234.0,109.0,9.088078498840332,0.9468837380409241,9.597882270812988,1
241.0,109.0,9.097578048706055,0.9457281827926636,9.619653701782227,1
308.0,109.0,8.664505004882812,0.8801735639572144,9.844086647033691,1
310.0,109.0,8.74000358581543,0.878971517086029,9.943443298339844,1
222.0,110.0,9.182292938232422,0.9486824870109558,9.678995132446289,1
236.0,110.0,9.089570999145508,0.9466912150382996,9.601410865783691,1
297.0,110.0,8.576776504516602,0.8918942213058472,9.616360664367676,1
310.0,110.0,8.671394348144531,0.8790318369865417,9.864709854125977,1
315.0,110.0,8.693130493164062,0.8770643472671509,9.911622047424316,1
231.0,111.0,9.093523979187012,0.9472627639770508,9.599790573120117,1
233.0,111.0,9.086078643798828,0.9472841620445251,9.591713905334473,1
234.0,111.0,9.090374946594238,0.9470639824867249,9.598480224609375,1
243.0,111.0,9.10363483428955,0.946404218673706,9.619182586669922,1
248.0,111.0,9.12534236907959,0.9497616291046143,9.608034133911133,1
310.0,111.0,8.66845989227295,0.8791379332542419,9.86018180847168,1
321.0,111.0,8.659838676452637,0.8744153380393982,9.903575897216797,1
328.0,111.0,8.57532787322998,0.8738376498222351,9.813410758972168,1
226.0,112.0,9.106287956237793,0.9474484920501709,9.611380577087402,1
232.0,112.0,9.083984375,0.9472182989120483,9.590169906616211,1
233.0,112.0,9.086767196655273,0.9472299814224243,9.592988967895508,1
235.0,112.0,9.242488861083984,0.9466321468353271,9.763548851013184,1
